Age;Sex;Ethnicity;Country_of_birth;Country_of_residence;Nationality;Language;Student_status;Employment_status
30;Male;White;Tunisia;Germany;Tunisia;English;Yes;Full-Time
31;Female;Mixed;Cuba;Germany;Cuba;Spanish;No;Full-Time
25;Female;Black;Zimbabwe;Germany;Zimbabwe;English;Yes;Unemployed (and job seeking)
21;Male;White;Germany;Germany;Germany;German;No;Unemployed (and job seeking)
20;Male;White;Syrian Arab Republic;Germany;Germany;Arabic;Yes;Part-Time
34;Male;White;Germany;Germany;Germany;German;Yes;Full-Time
32;Male;Black;Ghana;Germany;Ghana;English;Yes;Other
22;Male;White;Azerbaijan;Germany;Azerbaijan;English;Yes;Part-Time
29;Female;White;Chile;Germany;Chile;Spanish;No;Unemployed (and job seeking)
21;Female;Mixed;Germany;Germany;Serbia;German;Yes;Full-Time
38;Female;White;Germany;Germany;Germany;German;Yes;Full-Time
23;Female;Asian;Vietnam;Germany;Vietnam;Vietnamese;Yes;Part-Time
29;Male;White;Germany;Germany;Germany;German;No;Full-Time
44;Male;White;Turkey;Germany;Turkey;Turkish;Yes;Full-Time
36;Male;White;Turkey;Germany;Turkey;Turkish;No;Other
37;Male;White;Turkey;Germany;Turkey;Turkish;No;Full-Time
29;Female;White;Germany;Germany;Germany;German;Yes;Full-Time
35;Male;White;United Kingdom;Germany;United Kingdom;English;No;Other
25;Female;White;United States;Germany;United States;English;Yes;Part-Time
25;Male;White;United States;Germany;Germany;English;No;Full-Time
35;Male;White;Turkey;Germany;Turkey;Kurdish;Yes;Other
40;Female;Other;Iran;Germany;Iran;Farsi;No;Unemployed (and job seeking)
32;Female;Other;Mexico;Germany;Mexico;Spanish;Yes;Unemployed (and job seeking)
35;Female;White;Greece;Germany;Greece;Greek;No;Full-Time
21;Male;White;Belarus;Germany;Germany;Russian;Yes;Part-Time
23;Male;White;Germany;Germany;Germany;German;Yes;Full-Time
26;Female;White;Germany;Germany;Germany;German;Yes;Full-Time
26;Female;White;Germany;Germany;Germany;German;Yes;Full-Time
28;Female;Asian;Bangladesh;Germany;Bangladesh;Bengali;Yes;Part-Time
28;Female;White;Turkey;Germany;Turkey;Turkish;No;Unemployed (and job seeking)
28;Male;White;Germany;Germany;Germany;German;Yes;Full-Time
27;Male;White;Germany;Germany;Germany;German;Yes;Full-Time
23;Male;White;Germany;Germany;Germany;German;Yes;Other
31;Male;White;Germany;Germany;Germany;German;Yes;Full-Time
21;Female;Mixed;Peru;Germany;Peru;Spanish;Yes;Part-Time
25;Female;White;Germany;Germany;Germany;German;Yes;Other
30;Female;White;Hungary;Germany;Hungary;English;No;Full-Time
31;Female;White;Germany;Germany;Germany;German;Yes;Full-Time
26;Male;Asian;India;Germany;India;Other;Yes;Full-Time
35;Male;White;Germany;Germany;Germany;German;Yes;Full-Time
23;Male;White;Germany;Germany;Germany;German;Yes;Full-Time
37;Male;White;Turkey;Germany;Turkey;Turkish;No;Other
22;Male;Asian;Vietnam;Germany;Vietnam;Vietnamese;Yes;Unemployed (and job seeking)
34;Male;White;United States;Germany;United States;English;No;Full-Time
26;Male;White;Germany;Germany;Germany;German;Yes;Part-Time
26;Female;Asian;Indonesia;Germany;Indonesia;Indonesian;Yes;Unemployed (and job seeking)
32;Female;White;Germany;Germany;Germany;German;Yes;Full-Time
46;Male;White;Turkey;Germany;Germany;Turkish;No;Full-Time
20;Female;White;Germany;Germany;Germany;German;Yes;Part-Time
23;Male;White;Germany;Germany;Germany;German;No;Full-Time
36;Male;White;Germany;Germany;Germany;German;No;Full-Time
23;Female;White;Germany;Germany;Germany;German;Yes;Part-Time
24;Prefer not to say;White;Germany;Germany;Turkey;German;No;Unemployed (and job seeking)
18;Male;White;Germany;Germany;Germany;German;Yes;Part-Time
55;Male;White;Germany;Germany;Germany;German;No;Unemployed (and job seeking)
22;Female;White;Germany;Germany;Germany;German;Yes;Full-Time
29;Female;White;Germany;Germany;Germany;German;No;Full-Time
26;Female;White;Germany;Germany;Germany;German;Yes;Full-Time
24;Female;White;Germany;Germany;Germany;German;No;Part-Time
26;Female;Asian;China;Germany;China;Chinese;Yes;Part-Time
40;Female;White;Germany;Germany;Germany;German;No;Full-Time
23;Male;Other;Georgia;Germany;Georgia;Georgian;Yes;Unemployed (and job seeking)
35;Male;White;Macedonia;Germany;Macedonia;English;No;Full-Time
44;Female;Mixed;Germany;Germany;Germany;German;No;Other
28;Male;White;Germany;Germany;Germany;German;No;Part-Time
30;Male;White;Kazakhstan;Germany;Germany;German;No;Unemployed (and job seeking)
52;Female;White;Germany;Germany;Germany;German;No;Part-Time
40;Male;White;Germany;Germany;Germany;German;Yes;Full-Time
38;Male;Asian;Bangladesh;Germany;Bangladesh;English;No;Full-Time
63;Female;White;Germany;Germany;Germany;German;No;Part-Time
31;Female;Asian;Austria;Germany;Austria;Turkish;No;Full-Time
32;Male;White;Kazakhstan;Germany;Germany;German;No;Full-Time
27;Male;Mixed;United States;Germany;United States;English;No;Unemployed (and job seeking)
38;Female;White;Germany;Germany;Germany;German;Yes;Part-Time
26;Female;White;Ukraine;Germany;Ukraine;Ukrainian;Yes;Part-Time
29;Female;White;Germany;Germany;Germany;German;No;Full-Time
39;Male;White;Germany;Germany;Germany;German;No;Other
23;Female;White;Germany;Germany;Germany;German;Yes;Full-Time
29;Male;Asian;India;Germany;India;Hindi;No;Full-Time
39;Female;White;Germany;Germany;Germany;German;No;Full-Time
26;Male;White;Germany;Germany;Germany;German;No;Other
29;Female;White;Greece;Germany;Greece;Greek;No;Full-Time
31;Female;White;Germany;Germany;Germany;German;No;Part-Time
41;Male;Asian;Vietnam;Germany;Germany;German;No;Part-Time
33;Male;White;Albania;Germany;Albania;Albanian;No;Full-Time
21;Male;Asian;Vietnam;Germany;Vietnam;Vietnamese;Yes;Unemployed (and job seeking)
40;Male;White;Germany;Germany;Germany;German;Yes;Full-Time
25;Female;White;Turkey;Germany;Turkey;Turkish;Yes;Part-Time
27;Male;White;Germany;Germany;Germany;German;No;Unemployed (and job seeking)
23;Male;Other;Germany;Germany;Germany;German;Yes;Part-Time
41;Male;White;Germany;Germany;Germany;German;No;Full-Time
35;Male;Other;Iran;Germany;Iran;Farsi;No;Full-Time
37;Male;White;Germany;Germany;Germany;German;No;Full-Time
24;Female;Mixed;Germany;Germany;Germany;German;Yes;Other
46;Male;White;Germany;Germany;Germany;German;Yes;Full-Time
41;Male;Mixed;Turkey;Germany;Turkey;German;No;Full-Time
31;Male;White;Albania;Germany;Albania;Albanian;No;Full-Time
23;Male;Mixed;Croatia;Germany;Georgia;Georgian;No;Full-Time
29;Male;Asian;India;Germany;India;Tamil;No;Unemployed (and job seeking)
20;Male;White;Germany;Germany;Germany;German;No;Unemployed (and job seeking)
35;Male;White;Russian Federation;Germany;Germany;German;No;Full-Time
26;Female;White;Germany;Germany;Turkey;German;No;Unemployed (and job seeking)
23;Female;White;Germany;Germany;Germany;German;Yes;Other
24;Male;Asian;Nepal;Germany;Nepal;Nepali;Yes;Part-Time
24;Male;White;Greece;Germany;Greece;Greek;No;Full-Time
33;Female;White;Germany;Germany;Germany;German;Yes;Full-Time
24;Male;Asian;India;Germany;India;Tamil;Yes;Part-Time
47;Male;White;Turkey;Germany;Turkey;German;No;Full-Time
27;Male;White;Germany;Germany;Germany;German;No;Unemployed (and job seeking)
29;Male;Other;Algeria;Germany;Algeria;English;No;Full-Time
57;Male;White;Germany;Germany;Germany;German;No;Full-Time
29;Male;Black;Togo;Germany;Togo;German;Yes;Full-Time
29;Female;White;Germany;Germany;Germany;German;No;Part-Time
27;Male;White;Germany;Germany;Germany;German;No;Full-Time
